Sub County ID,County ID,Sub County Name
4476,44,Ainabkoi
4425,22,Athi River District
4451,27,Awendo District
213,7,Balambala District
214,24,Banisa District
139,1,Baringo Central District
140,1,Baringo North District
4458,12,Belgut District
4514,2,Bomet Central
145,2,Bomet District
4516,2,Bomet East
136,38,Bondo District
130,34,Borabu District
4430,3,Bumula District
4405,46,Buna District
192,3,Bungoma Central District
193,3,Bungoma East District
194,3,Bungoma North District
195,3,BUNGOMA SOUTH DISTRICT
196,3,Bungoma West District
198,4,Bunyala District
146,12,Buret District
199,4,Busia District
204,11,Butere District
4431,4,Butula District
79,26,Buuri District
4438,26,Central Imenti District
4439,28,changamwe District
4456,2,Chepalungu District
4428,3,Cheptais District
4401,7,Dadaab District
4378,30,Dagoreti District
4452,33,Dikirr District
141,1,East Pokot District
4406,46,Eldas District
186,44,Eldoret East District
187,44,Eldoret West District
4372,30,Embakasi District
4511,6,Embu
48,6,Embu East District
4398,6,Embu North District
49,6,Embu West District
210,45,Emuhaya District
4480,42,Endebess
4500,16,Etago
94,7,Fafi District
4411,14,Ganze District
52,9,Garbatula District
4436,9,Garbatulla District
95,7,Garissa District
17,29,Gatanga District
1,13,Gatundu District
4381,13,Gatundu North District
4505,13,Gatundu South
4447,38,Gem District
4463,31,Gilgil District
2,13,Githunguri District
4498,16,Gucha
112,16,Gucha North District
113,16,Gucha South District
4404,46,Habaswein District
211,45,Hamisi District
106,8,Homa Bay District
4402,7,Hulugho District
4492,26,Igembe Central
80,26,Igembe North District
81,26,Igembe South District
96,7,Ijara District
4424,18,Ikutha District
82,26,Imenti North District
83,26,Imenti South District
53,9,Isiolo District
4489,28,Jomvu
4506,13,Juja
3,13,Kabete District
4386,29,Kahuro District
152,10,Kajiado Central District
151,10,Kajiado East District
4467,10,kajiado North District
153,10,Kajiado South District
4466,10,kajiado West District
205,11,Kakamega Central District
206,11,Kakamega East District
207,11,Kakamega North District
208,11,Kakamega South District
34,14,Kaloleni District
4374,29,Kamukunji District
4379,30,Kamukunji District Nairobi
4,29,Kandara District
4487,29,Kangema
61,22,Kangundo District
4473,44,Kapseret
4375,30,Kasarani District
62,22,Kathiani District
66,23,Kathonzweni District
4423,18,Katulani District
148,5,Keiyo District
4454,5,keiyo south District
114,16,Kenyenya District
154,12,Kericho District
4507,12,Kericho East
4508,12,Kericho West
4477,44,Kesses
4441,11,Khwisero District
5,13,Kiambaa District
4382,13,Kiambu District
6,13,Kiambu East District
7,13,Kiambu West District
4478,43,Kibish
67,23,Kibwezi District
27,36,Kieni East District
26,36,Kieni West District
16,29,Kigumo District
4504,13,Kikuyu
32,14,Kilifi District
4503,14,Kilifi South
40,28,Kilindini District
68,23,Kilungu District
4429,3,Kimilili District
4479,42,Kiminini
35,19,Kinango District
4465,35,Kinangop District
20,35,Kipipiri District
155,12,Kipkelion District
4469,47,Kipkomo District
12,15,Kirinyaga Central District
13,15,Kirinyaga East District
4387,15,Kirinyaga North District
14,15,Kirinyaga South District
15,15,Kirinyaga West District
4422,18,Kisasi District
4408,28,Kisauni District
115,16,Kisii Central District
116,16,Kisii South District
120,17,Kisumu East District
4449,17,Kisumu Town West District
121,17,Kisumu West District
54,18,Kitui Central District
55,18,Kitui West District
4499,16,Kitutu Central 
135,34,Kitutu District
142,1,Koibatek District
4457,2,Konoin District
4462,31,Kuresoi District
124,27,Kuria East District
125,27,Kuria West District
36,19,Kwale District
179,42,Kwanza District
56,18,Kyuso District
4403,24,Lafey District
97,7,Lagdera District
159,20,Laikipia Central District
156,20,Laikipia East District
157,20,Laikipia North District
158,20,Laikipia West District
39,21,Lamu District
4397,21,Lamu East District
4396,21,Lamu West District
4377,30,Langata District
11,13,Lari District
4409,28,Likoni District
4442,11,Likuyani District
4380,13,Limuru District
185,43,Loima District
4459,12,Londiani District
4418,18,Lower Yatta District
4434,25,Loyangalani District
4470,45,Luanda
209,11,Lugari District
4494,19,Lunga Lunga
4481,41,Maara
78,26,Maara District
63,22,Machakos District
4413,14,Magarini District
4371,30,Makadara District
4427,23,Makindu District
69,23,Makueni District
33,14,Malindi District
4493,24,Mandera
98,24,Mandera Central District
99,24,Mandera East District
100,24,Mandera North District
101,24,Mandera West District
131,34,Manga District
149,5,Marakwet East District
4453,5,Marakwet West District
132,16,Marani District
143,1,Marigat District
74,25,Marsabit District
75,25,Marsabit North District
76,25,Marsabit South District
117,16,Masaba District
4482,34,Masaba North
4497,16,Masaba South
60,22,Masinga District
4443,11,Matete District
4385,29,Mathioya District
4389,36,Mathira East District
4390,36,Mathira West District
4421,18,Matinyani District
38,19,Matuga
4440,11,Matungu District
4426,22,Matungulu District
50,6,Mbeere North District
51,6,Mbeere South District
107,8,Mbita District
70,23,Mbooni East District
71,23,Mbooni West District
4437,9,Merti District
4490,26,Meru
84,26,Meru Central District
85,41,Meru South District
126,27,Migori District
4495,18,Migwani
21,35,Mirangini District
144,1,Mogotio District
4474,44,Moiben
161,31,Molo District
