Ward ID,Sub County ID,Ward Name
835,104,Abakore
1375,123,Ahero
1594,4476,Ainabkoi Olare
1216,199,Air Strip
1303,136,Akala
1490,189,Alale
876,94,Alinjugur
1229,202,Alupe
1227,201,Amoding
1224,201,Amogoro
1228,202,Amukura
851,99,Arabia
1309,137,Aram
828,105,Arbajan
1308,137,Asembo Bay
849,100,As Habito
1335,106,Asumbi
985,4425,Athi River
1374,123,Awasi
1442,4451,Awendo
1536,164,Bahati
1179,4439,Bahat i
865,213,Balambala
924,4411,Bamba
902,4408,Bamburi
684,4382,Banana 
846,214,Banisa
1460,176,Baragoi
767,15,Baricho
1026,53,BBC
776,26,Belview
1293,211,Bendera
1113,193,Bilongo
816,31,Birithia
1452,130,Birongo
1398,115,Bobaracho
907,4408,Bombolulu
1500,145,Bomet
1304,136,Bondo
608,136,Bondo
603,130,Borabu
1391,113,Bosinange
1299,212,Boyani
1146,194,Brigadier
1518,154,Brooke
1207,198,Budalangi
1187,195,Bukembe
1221,200,Bukiri
1274,208,Bukura
1238,4431,Bulemia
1236,4431,Bumala A
1235,4431,Bumala B
1218,200,Bumbe
1206,4430,Bumula
831,4405,Buna
838,103,Buna
1152,195,Bungoma
1182,195,Bungoma CBD
878,94,Bura
894,4394,Bura  Tana River
1161,156,Burguret
621,4371,Buruburu
1264,207,Butali
839,103,Bute
1252,204,Butere Town
1171,41,Buxton
742,4376,CBD
1174,4439,Chaani
1355,110,Chabera
777,27,Chaka
1231,202,Chakol
1181,4439,Changamwe
1073,4438,Charia
1582,4394,Charidende
1295,212,Chavakali
1507,147,Chebilat
1094,192,Chebukaka
1100,192,Chebukwa
1123,193,Check Point
1376,4445,Chemilil
1110,192,Chemwa
1631,4480,Chepchoina
1462,4454,Chepkorio
1521,155,Chepsion
1204,4428,Cheptais
1602,4477,Cheptiret Kipchamo
1290,211,Cheptulu
1474,178,Cheregany
1463,149,Chesoi
1310,137,Chianda
1278,209,Chimoi
814,31,Chinga
670,93,Chiromo
1030,78,Chogoria
1554,85,Chuka
1380,4449,Chulaimbo
1002,4419,Chuluni
933,32,Chumani
1087,192,Chwele
1084,88,Ciakariga
1214,199,Customs
1010,4433,Dabel
861,4401,Dadaab
833,104,Dadaja Bula
662,4378,Dagoretti
823,4407,Dambas
837,103,Danaba
632,4373,Dandora
847,101,Dantu
864,213,Danyere
1402,115,DarajaMbili
1381,4449,Daraja Mbili
859,4401,Dertu
914,36,Diani
834,104,Diif
1121,193,Dina
1163,157,Doldol
629,4372,Donholm
1324,4447,Dudi
863,213,Dujis
641,4376,Eastleigh
1540,165,Egerton
981,60,Ekalakala
1449,134,Ekerenyo
1246,203,Ekero
1532,161,Elbugon
1494,142,Eldama Ravine
826,4406,Eldas
866,97,El Dera
1487,187,Eldoret
824,4406,El Nur
1234,4431,Elukhari
1233,4431,Elukongo
853,98,Elwak
1588,4470,Emabungo
624,4372,Embakasi
946,49,Embu Town
940,48,Ena
771,26,Endarasha
1476,179,Endebbes
1632,4480,Endebess
1545,24,Engineer
1068,4438,Equator
1270,208,Eregi
1397,4450,Etago
1579,4466,Ewaso Kedong
1043,79,Ex Lewa
901,4397,Faza
843,4403,Fino
1217,200,Funyula
688,4382,Gachie 
960,51,Gachoka
676,4381,Gakoe
952,49,Gakwegori
875,94,Galmagala
1301,212,Gambogi
1222,200,Ganga
1165,41,Ganjoni
923,4411,Ganze
545,52,Garbatula
1025,52,Garbatula 
1024,4436,Garbatulla
874,95,Garissa Township
886,46,Garsen
722,17,Gatanga
1067,4438,Gatimbi
699,9,Gatuanyaga
755,13,Gatugura
677,4381,Gatukuyu
